Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Net Zero 2050,GCAM 6.0 NGFS|India,GDP|PPP|Counterfactual without damage,billion US$2010/yr,6569.604755,9389.483875,11659.67207,13659.62891,16360.51848,19058.9298,22195.13189,25833.59854,29654.07447,33738.5768,38746.32953,43151.14637,47626.95053,52286.68871,57057.31193,62047.13184,67183.59116
GCAM 6.0 NGFS,Net Zero 2050,GCAM 6.0 NGFS|India,Policy Cost|GDP Loss,billion US$2010/yr,0,0,-266.6695945,-995.631542,-1326.875508,-1963.782189,-2466.125766,-2870.399838,-3294.897163,-3657.526904,-3299.007656,-3543.440054,-3818.170254,-3807.528563,-3686.1119,-3244.675423,-2555.324891
GCAM 6.0 NGFS,Below 2°C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.24645482,1.396371551,1.514719728,1.630384115,1.714388347,1.761865047,1.809757247,1.821017523,1.847947338,1.839657562,1.84947282,1.823652434,1.808310485,1.788232577,1.767612416,1.769986789,1.75361745
GCAM 6.0 NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.245759968,1.387072186,1.49709023,1.617752206,1.739409724,1.862228453,1.999018414,2.106114435,2.22976494,2.324274979,2.447386077,2.544462597,2.6513168,2.75380222,2.853729342,2.966268731,3.062612856
GCAM 6.0 NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.245821732,1.385285543,1.497815352,1.64342059,1.75409639,1.818653693,1.865115093,1.879246854,1.895088342,1.885995356,1.89297302,1.86680165,1.856405739,1.829198223,1.80625975,1.808746202,1.792246302
GCAM 6.0 NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.245894258,1.38653465,1.497133566,1.6232042,1.734627553,1.837410499,1.940139334,1.996786336,2.070238991,2.116027388,2.187714386,2.232354357,2.292980771,2.346464215,2.398934846,2.467278395,2.515253348
GCAM 6.0 NGFS,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.245664653,1.381152412,1.495636021,1.604192613,1.67574669,1.706884229,1.699344194,1.708187692,1.706031062,1.676656018,1.668318273,1.633324799,1.614870848,1.596557215,1.578491486,1.5731829,1.553824706
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.246161972,1.389691377,1.501357899,1.626105891,1.741446851,1.847217783,1.96711983,2.04618175,2.14663316,2.213419173,2.308518199,2.366983263,2.439156329,2.497688639,2.549732548,2.612338457,2.655928469
GCAM 6.0 NGFS,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.246644597,1.400313014,1.519837925,1.624603145,1.682712543,1.699526048,1.683768882,1.687929874,1.674292871,1.643561527,1.632369367,1.588638483,1.568703525,1.551310696,1.530058369,1.523582019,1.499659178
MESSAGEix-GLOBIOM 1.1-M-R12,Below 2°C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.233476803,1.387664199,1.52262914,1.633982871,1.708742815,1.754164464,1.796691607,1.800670295,1.810079525,1.786615817,1.784830818,1.753827373,1.732419627,1.712923427,1.695882273,1.691888612,1.675756946
MESSAGEix-GLOBIOM 1.1-M-R12,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.233348066,1.385981194,1.49465554,1.619537547,1.737975222,1.841191239,1.955173509,2.033086284,2.127575517,2.200666448,2.294364845,2.37050213,2.465444758,2.560036834,2.656748692,2.770032387,2.867385026
MESSAGEix-GLOBIOM 1.1-M-R12,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.233345679,1.384765668,1.495162001,1.647395814,1.748890922,1.802239908,1.853219051,1.851856441,1.860092417,1.835094596,1.825255305,1.789499562,1.765762484,1.740927676,1.72613298,1.721927711,1.704117936
MESSAGEix-GLOBIOM 1.1-M-R12,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.233452743,1.385448641,1.495007649,1.638989095,1.755195773,1.829009759,1.910646108,1.936492544,1.971758017,1.977902747,2.002402406,2.001028726,2.017228704,2.030936672,2.048157012,2.078612953,2.090216549
MESSAGEix-GLOBIOM 1.1-M-R12,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.233487739,1.388701052,1.546913538,1.634772381,1.665123012,1.666097452,1.668856647,1.631171088,1.608588287,1.562157426,1.542028671,1.496799259,1.483686092,1.470491538,1.457046615,1.453973616,1.433924613
MESSAGEix-GLOBIOM 1.1-M-R12,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.233587844,1.3871249,1.495619807,1.619657008,1.725101534,1.807803258,1.896615625,1.941840313,2.000837952,2.040775464,2.103059638,2.132202769,2.179769513,2.220058457,2.26035747,2.307847775,2.329069901
MESSAGEix-GLOBIOM 1.1-M-R12,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.233487739,1.388276684,1.532477939,1.612872771,1.6443019,1.644960746,1.643895751,1.605251788,1.581487598,1.540437632,1.525043525,1.492318078,1.479466051,1.466935619,1.456963636,1.459174518,1.444727641
REMIND-MAgPIE 3.2-4.6,Below 2°C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.232989081,1.384420854,1.49258092,1.606450364,1.671556892,1.704935258,1.730578454,1.725768349,1.73146418,1.71184878,1.718893995,1.705356746,1.705949951,1.705656585,1.703571582,1.707691533,1.689041073
REMIND-MAgPIE 3.2-4.6,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.232565705,1.38246443,1.484907483,1.610927927,1.72566957,1.83415326,1.95988508,2.049495445,2.156420891,2.24510811,2.351659689,2.435430913,2.52969514,2.61709381,2.69202816,2.774656828,2.836346391
REMIND-MAgPIE 3.2-4.6,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.232361025,1.382470836,1.488170772,1.613663725,1.71364921,1.756200433,1.768267919,1.740732016,1.736188443,1.705116569,1.706003602,1.677322496,1.668749313,1.653570099,1.642364818,1.641263283,1.622206651
REMIND-MAgPIE 3.2-4.6,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.232596417,1.382541498,1.484962979,1.608644529,1.720045499,1.807009069,1.89042531,1.936375027,1.992089397,2.023762266,2.081167849,2.110188427,2.157347466,2.19878088,2.23552781,2.284161418,2.309649902
REMIND-MAgPIE 3.2-4.6,Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.233631052,1.390534076,1.496271656,1.562749553,1.560701319,1.523472593,1.488090396,1.412566078,1.366115342,1.302916901,1.269951947,1.221644698,1.192970196,1.165113537,1.138387118,1.122932515,1.091990301
REMIND-MAgPIE 3.2-4.6,Nationally Determined Contributions (NDCs),World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.232527127,1.382129517,1.485023439,1.606838918,1.694157071,1.762081083,1.832483869,1.870462983,1.930716418,1.960853021,2.017176725,2.037606915,2.073721682,2.104387672,2.120028047,2.153576171,2.169448864
REMIND-MAgPIE 3.2-4.6,Net Zero 2050,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.233277929,1.386812254,1.492717452,1.574594534,1.589657701,1.578013522,1.576715204,1.529685288,1.505677258,1.466126187,1.462924364,1.427212693,1.411092955,1.384205584,1.363001617,1.356823075,1.33044744
REMIND-MAgPIE 3.2-4.6 IntegratedPhysicalDamages (95th-high),Below 2°C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.23311582,1.385164013,1.493938986,1.595069271,1.639900988,1.659229946,1.678336234,1.671311183,1.678874405,1.662555265,1.672971788,1.656133438,1.662262344,1.658009424,1.651628348,1.655380767,1.637844119
REMIND-MAgPIE 3.2-4.6 IntegratedPhysicalDamages (95th-high),Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.232564255,1.382222056,1.483863448,1.608987284,1.721955209,1.82734204,1.945481382,2.027755247,2.130437701,2.212218401,2.314559726,2.390746485,2.480933631,2.560484693,2.629691265,2.707484788,2.761394642
REMIND-MAgPIE 3.2-4.6 IntegratedPhysicalDamages (95th-high),Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.232359576,1.382230384,1.48730527,1.611180246,1.701497648,1.733268807,1.741980546,1.71642951,1.7131653,1.683044286,1.685844201,1.657889017,1.651419617,1.637016944,1.62645014,1.626567258,1.606249606
REMIND-MAgPIE 3.2-4.6 IntegratedPhysicalDamages (95th-high),Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.232901214,1.384728372,1.493085476,1.615113425,1.703683817,1.745555648,1.772219949,1.761742378,1.769654551,1.755308724,1.762804473,1.75273583,1.752988215,1.747308507,1.743743842,1.748957823,1.734619326
REMIND-MAgPIE 3.2-4.6 IntegratedPhysicalDamages (95th-high),Low demand,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,K,1.233676694,1.391541627,1.494183555,1.556510082,1.551196973,1.515319166,1.481607374,1.40969441,1.36705034,1.307269109,1.279771993,1.233539278,1.208205309,1.181270948,1.156023997,1.13988575,1.10863242
